Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
PDB241-E420K-504A2,Bourns Inc.,PDB241-E420K-504A2-ND,,,Bulk,Active,4,2.38,$9.52 ,759,18 Weeks,POT 500K OHM 1/4W CARBON LOG,ROHS3 Compliant,Lead free,REACH Unaffected
PV36W104C01B00,Bourns Inc.,490-2876-ND,,,Tube,Active,4,1.5,$6.00 ,10147,6 Weeks,TRIMMER 100K OHM 0.5W PC PIN TOP,ROHS3 Compliant,Lead free,REACH Unaffected
PV36Y203C01B00,Bourns Inc.,490-2919-ND,,,Bulk,Active,4,1.5,$6.00 ,738,6 Weeks,TRIMMER 20K OHM 0.5W PC PIN TOP,ROHS3 Compliant,Lead free,REACH Unaffected
RLB1314-103KL,Bourns Inc.,RLB1314-103KL-ND,,,Bag,Active,4,0.56,$2.24 ,1099,14 Weeks,FIXED IND 10MH 100MA 12 OHM TH,ROHS3 Compliant,Lead free,REACH Unaffected
RLB0608-102KL,Bourns Inc.,RLB0608-102KL-ND,,,Bag,Active,8,0.32,$2.56 ,110821,14 Weeks,FIXED IND 1MH 100MA 11.5 OHM TH,ROHS3 Compliant,Lead free,REACH Unaffected
RL622-101K-RC,Bourns Inc.,M9993-ND,,,Bulk,Active,4,0.95,$3.80 ,10879,18 Weeks,FIXED IND 100UH 910MA 280 MOHM,ROHS3 Compliant,Lead free,REACH Unaffected
FG18X7R1H474KRT06,TDK Corporation,445-173276-1-ND,,,Cut Tape (CT),Active,5,0.36,$1.80 ,2039,24 Weeks,CAP CER 0.47UF 50V X7R RADIAL,ROHS3 Compliant,Lead free,REACH Unaffected
PRG3216P-1000-D-T5,Susumu,408-1805-1-ND,,,Cut Tape (CT),Active,10,0.491,$4.91 ,1400,20 Weeks,RES SMD 100 OHM 1W 1206 WIDE,ROHS3 Compliant,Lead free,Not Available
ERJ-PB6B4700V,Panasonic Electronic Components,P20556CT-ND,,,Cut Tape (CT),Active,25,0.2228,$5.57 ,9536,13 Weeks,RES SMD 470 OHM 0.1% 1/4W 0805,ROHS3 Compliant,Lead free,Not Available
RK73H2ATTD47R0F,"KOA Speer Electronics, Inc.",2019-RK73H2ATTD47R0FCT-ND,,,Cut Tape (CT),Active,10,0.035,$0.35 ,21644,Not Available,RESISTOR,ROHS3 Compliant,Lead free,Not Available
CRCW08052K20FKEAHP,Vishay Dale,541-2.20KTCT-ND,,,Cut Tape (CT),Active,5,0.26,$1.30 ,68074,16 Weeks,RES SMD 2.2K OHM 1% 1/2W 0805,ROHS3 Compliant,Lead free,Not Available
ERJ-P06F1001V,Panasonic Electronic Components,P16058CT-ND,,,Cut Tape (CT),Active,10,0.167,$1.67 ,428211,13 Weeks,RES SMD 1K OHM 1% 1/2W 0805,ROHS3 Compliant,Lead free,REACH Unaffected
ERJ-PB6B1002V,Panasonic Electronic Components,P20708CT-ND,,,Cut Tape (CT),Active,10,0.306,$3.06 ,74436,13 Weeks,RES SMD 10K OHM 0.1% 1/4W 0805,ROHS3 Compliant,Lead free,Not Available
ERJ-PB6B1003V,Panasonic Electronic Components,P20822CT-ND,,,Cut Tape (CT),Active,50,0.1614,$8.07 ,10358,13 Weeks,RES SMD 100K OHM 0.1% 1/4W 0805,ROHS3 Compliant,Lead free,Not Available
ERJ-PB6B4703V,Panasonic Electronic Components,P20898CT-ND,,,Cut Tape (CT),Active,10,0.306,$3.06 ,2294,13 Weeks,RES SMD 470K OHM 0.1% 1/4W 0805,ROHS3 Compliant,Lead free,Not Available
C0805C222KAGECAUTO,KEMET,399-17905-1-ND,,,Cut Tape (CT),Active,20,0.196,$3.92 ,4558,18 Weeks,CAP CER 0805 2.2NF 250V C0G,ROHS3 Compliant,Lead free,REACH Unaffected
C0805C471F1GACTU,KEMET,399-8082-6-ND,,,Digi-Reel,Active,20,0.804,$16.08 ,24495,46 Weeks,CAP CER 470PF 100V C0G/NP0 0805,ROHS3 Compliant,Lead free,REACH Unaffected
C0805C104K3RACTU,KEMET,399-1168-1-ND,,,Cut Tape (CT),Active,40,0.137,$5.48 ,913439,54 Weeks,CAP CER 0.1UF 25V X7R 0805,ROHS3 Compliant,Lead free,REACH Unaffected
UKL2A100KPD,Nichicon,493-14498-ND,,,Bulk,Active,20,0.398,$7.96 ,1219,19 Weeks,CAP ALUM 10UF 10% 100V RADIAL,ROHS3 Compliant,Lead free,REACH Unaffected
